Informations générales - Code INSEE de la commune,Nom de la commune,2019,2020,2021
76057,BARENTIN,0,0,0
76114,BOLBEC,0,0,0
76157,CANTELEU,0,0,0
76165,CAUDEBEC-LES-ELBEUF,0,0,0
76178,CLEON,0,0,0
76212,DARNETAL,0,0,0
76216,DEVILLE-LES-ROUEN,0,0,0
76217,DIEPPE,0,0,0
76231,ELBEUF,0,0,0
76259,FECAMP,0,0,0
76319,GRAND-COURONNE,0,0,0
76322,GRAND-QUEVILLY,0,0,0
76341,HARFLEUR,0,0,0
76351,HAVRE,0,0,0
76384,LILLEBONNE,0,0,0
76410,MAROMME,0,0,0
76447,MONTIVILLIERS,0,0,0
76451,MONT-SAINT-AIGNAN,0,0,0
76462,NEUFCHATEL-EN-BRAY,141667,125926,110185
76484,OISSEL,0,0,0
76495,PAVILLY,0,0,0
76497,PETIT-COURONNE,0,0,0
76498,PETIT-QUEVILLY,0,0,0
76540,ROUEN,0,0,0
76575,SAINT-ETIENNE-DU-ROUVRAY,0,0,0
76681,SOTTEVILLE-LES-ROUEN,0,0,0
76758,YVETOT,0,0,0
77014,AVON,0,0,0
77053,BRIE-COMTE-ROBERT,76534,0,0
77058,BUSSY-SAINT-GEORGES,182600,0,0
77079,CHAMPAGNE-SUR-SEINE,0,0,0
77083,CHAMPS-SUR-MARNE,0,0,0
77108,CHELLES,0,0,0
77122,COMBS-LA-VILLE,0,0,0
77131,COULOMMIERS,0,0,0
77152,DAMMARIE-LES-LYS,0,0,0
77183,FERTE-SOUS-JOUARRE,0,377435,0
77186,FONTAINEBLEAU,78140,0,0
77243,LAGNY-SUR-MARNE,0,0,0
77251,LIEUSAINT,0,0,0
77258,LOGNES,0,0,0
77284,MEAUX,0,0,0
77285,MEE-SUR-SEINE,0,0,0
77288,MELUN,0,0,0
77294,MITRY-MORY,0,0,0
77296,MOISSY-CRAMAYEL,0,0,0
77305,MONTEREAU-FAULT-YONNE,0,0,0
77327,NANGIS,0,0,0
77333,NEMOURS,0,0,0
77337,NOISIEL,0,0,0
77350,OZOIR-LA-FERRIERE,131385,0,0
77373,PONTAULT-COMBAULT,0,0,0
77379,PROVINS,0,0,0
77390,ROISSY-EN-BRIE,0,0,0
77407,SAINT-FARGEAU-PONTHIERRY,80021,68590,57158
77445,SAVIGNY-LE-TEMPLE,0,0,0
77464,THORIGNY-SUR-MARNE,0,0,0
77468,TORCY,0,0,0
77479,VAIRES-SUR-MARNE,0,0,0
77514,VILLEPARISIS,0,0,0
78005,ACHERES,0,0,0
78029,AUBERGENVILLE,0,0,0
78123,CARRIERES-SOUS-POISSY,0,0,0
78138,CHANTELOUP-LES-VIGNES,0,0,0
78165,CLAYES-SOUS-BOIS,81959,70250,58542
78172,CONFLANS-SAINTE-HONORINE,116627,0,0
78242,FONTENAY-LE-FLEURY,58413,0,0
78297,GUYANCOURT,0,0,0
78335,LIMAY,0,0,0
78361,MANTES-LA-JOLIE,0,0,0
78362,MANTES-LA-VILLE,0,0,0
78440,MUREAUX,0,0,0
78490,PLAISIR,238246,204211,170176
78498,POISSY,0,0,0
78545,SAINT-CYR-L'ECOLE,0,0,0
78586,SARTROUVILLE,0,0,0
78621,TRAPPES,0,0,0
78642,VERNEUIL-SUR-SEINE,0,0,0
78643,VERNOUILLET,0,0,0
78644,VERRIERE,0,0,0
78674,VILLEPREUX,52868,45315,37763
79049,BRESSUIRE,0,0,0
79191,NIORT,0,0,0
79202,PARTHENAY,0,0,0
79270,SAINT-MAIXENT-L'ECOLE,0,0,0
79329,THOUARS,0,0,0
80001,ABBEVILLE,0,0,0
80016,ALBERT,0,0,0
80021,AMIENS,0,0,0
80212,CORBIE,89197,0,0
80253,DOULLENS,0,0,0
