Informations générales - Code INSEE de la commune,nom_commune,dsr_garantie_commune_nouvelle_fraction_cible,dsr_garantie_commune_nouvelle_fraction_perequation,dsr_garantie_commune_nouvelle_fraction_bourg_centre
24087,CASTELS ET BEZENAC,38453,30335,0
24117,LES COTEAUX PERIGOURDINS,0,20225,0
24142,COUX ET BIGAROQUE-MOUZENS,0,48162,95825
24147,CUBJAC-AUVEZERE-VAL D'ANS,48550,40526,0
24172,LES EYZIES,0,37619,0
24216,LA JEMAYE-PONTEYRAUD,0,9095,0
24253,MAREUIL EN PERIGORD,0,99677,103847
24259,EYRAUD-CREMPSE-MAURENS,29240,42079,62715
24312,SANILHAC,0,104966,305266
24316,PARCOUL-CHENAUD,42612,34576,0
24362,VAL DE LOUYRE ET CAUDEAU,82016,71233,129608
24364,COLY-SAINT-AMAND,0,26881,0
24376,SAINT AULAYE-PUYMANGOU,4275,47115,124766
24423,SAINT-JULIEN-INNOCENCE-EULALIE,0,12140,0
24490,SAINT PRIVAT EN PERIGORD,53857,44616,109951
24534,SIGOULES-ET-FLAUGEAC,12297,28264,60263
24540,SORGES ET LIGUEUX EN PERIGORD,0,57730,154002
24554,LA TOUR-BLANCHE-CERCLES,0,20001,0
25035,LES AUXONS,0,37136,0
25078,BOUCLANS,26498,24556,0
25147,CHEMAUDIN ET VAUX,0,28765,0
25156,PAYS-DE-CLERVAL,0,4356,0
25222,ETALANS,44203,35891,0
25245,FONTAIN,0,27095,0
25334,LEVIER,72715,59396,150089
25368,MARCHAUX-CHAUDEFONTAINE,0,19003,34854
25424,LES PREMIERS SAPINS,94785,75272,0
25434,ORNANS,1984,60721,74058
25438,OSSELLE-ROUTELLE,0,17869,0
25460,LE VAL,9240,7502,0
25529,SANCEY  ,0,44485,83553
25558,TARCENAY-FOUCHERANS,48770,37291,0
25575,VAIRE,0,16489,0
26001,SOLAURE EN DIOIS,26860,16068,0
26086,CHÂTILLON-EN-DIOIS,36593,30898,58583
26179,  MERCUROL-VEAUNES,0,44529,0
26210,VALHERBASSE,0,27659,0
27011,AMFREVILLE-SAINT-AMAND,25923,29310,71787
27022,LE VAL D'HAZEY,0,67386,85527
27032,CHAMBOIS,53302,44202,0
27049,MESNIL-EN-OUCHE,236529,197554,236926
27062,LES MONTS DU ROUMOIS,55025,42409,0
27070,FRENELLES-EN-VEXIN,0,37338,0
27085,FLANCOURT-CRESCY-EN-ROUMOIS,50520,39758,0
27089,THÉNOUVILLE,0,21054,0
27090,BOSROUMOIS,85711,68140,0
27105,GRAND BOURGTHEROULDE,92435,74954,0
27107,BOURNEVILLE-SAINTE-CROIX,0,33821,79920
27112,BRETEUIL,144235,121290,275883
27157,MARBOIS,59534,47748,81300
27191,CLEF VALLÉE D'EURE,0,54883,138667
27198,MESNILS-SUR-ITON,191799,174170,160858
27213,VEXIN-SUR-EPTE,197763,174441,127554
27263,LE PERREY,0,31051,0
27277,LA BARONNIE,21449,19442,0
27290,GOUPIL-OTHON,22362,26909,0
27294,VAL D'ORGER,31253,24746,0
27302,LE BOSC DU THEIL,36627,30802,0
27412,TERRES DE BORD,0,26464,0
27425,NASSANDRES SUR RISLE,0,48154,90088
27447,LE VAL-DORÉ,16759,25921,0
27448,PACY-SUR-EURE,0,82006,234516
27467,PONT-AUDEMER,28888,128821,239924
27471,PORTE-DE-SEINE,0,5436,0
27516,TREIS-SANTS-EN-OUCHE,0,34239,0
27541,LE MESNIL-SAINT-JEAN,4689,6157,0
27554,LA CHAPELLE-LONGUEVILLE,0,58644,0
27565,LE LESME,28761,23959,0
27578,SAINTE-MARIE-D'ATTEZ,0,24503,0
27638,LE THUIT DE L'OISON,83146,69730,223257
27676,LES TROIS LACS,0,40931,0
27679,VERNEUIL D'AVRE ET D'ITON,33336,141854,323834
27685,LA VIEILLE-LYRE,0,21828,0
27693,SYLVAINS-LÈS-MOULINS,0,39650,0
28012,COMMUNE NOUVELLE D'ARROU,151991,119060,156358
28015,AUNEAU-BLEURY-SAINT SYMPHORIEN,0,90336,145597
28018,AUTHON-DU-PERCHE,0,31274,73656
28103,CLOYES LES TROIS RIVIÈRES,203158,153241,228155
28127,DANGEAU,0,28500,0
28183,GOMMERVILLE,0,12811,0
28185,GOUSSAINVILLE,0,24567,0
28199,JANVILLE-EN-BEAUCE,0,40338,99697
